respondent_id,degree_program,task_data_entry,task_documents,task_computer_use,task_data_analysis,task_physical,task_other,task_client_comms,task_internal_comms,task_managing,task_decision_making,task_creative,task_teaching,task_caregiving,skill_financial_statements,skill_tax_computation,skill_auditing,skill_cost_accounting,skill_bookkeeping,skill_business_law,skill_management_accounting,skill_pfrs,skill_computerized_accounting,skill_data_interpretation,skill_marketing_principles,skill_human_resource_mgmt,skill_operations_management,skill_business_communication,skill_financial_management,skill_entrepreneurship,skill_business_ethics,skill_strategic_management,skill_consumer_behavior,skill_business_research,skill_programming,skill_database_management,skill_network_administration,skill_web_development,skill_systems_analysis,skill_cybersecurity,skill_technical_documentation,skill_software_testing,skill_cloud_computing,skill_it_project_management,skill_algorithms_ds,skill_software_engineering,skill_operating_systems,skill_computer_architecture,skill_machine_learning_basics,skill_theory_of_computation,skill_mobile_development,skill_parallel_computing,skill_research_methods_cs,skill_capstone_systems,skill_lesson_planning,skill_classroom_management,skill_curriculum_development,skill_educational_assessment,skill_child_development,skill_inclusive_education,skill_teaching_strategies,skill_educational_technology,skill_professional_ethics_ed,skill_community_engagement,skill_patient_assessment,skill_medication_administration,skill_health_education,skill_nursing_care_planning,skill_infection_control,skill_emergency_care,skill_maternal_child_nursing,skill_community_health_nursing,skill_mental_health_nursing,skill_nursing_research,vulnerability_score
1,BS Accountancy,0.2714443592342429,0.07278491625504191,0.17130187486773252,0.17209086818741257,0.0,0.013911178513171734,0.11190971351264839,0.06227806181022844,0.027807164126184877,0.08829435984412429,0.0025722726335814143,0.002543011720221435,0.0030622192954093924,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5751
2,BS Accountancy,0.29612560952610256,0.06924897906493817,0.17977885025943585,0.1952028881556486,0.0,0.041473628401843946,0.01838219133289769,0.07135986560301331,0.03940904313394828,0.07816491149605624,0.010854033026115286,0.0,0.0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6477
3,BS Accountancy,0.23511267837568556,0.08923940674325241,0.2321301279921256,0.09692188359151002,0.003744890467593817,0.043472683431617254,0.051145777696386924,0.06950359055569467,0.048182583003889515,0.12195315491318846,0.0,0.0,0.008593223229055777,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5794
4,BS Accountancy,0.2466699421303076,0.07926102782985843,0.14976437674037243,0.23030358812668394,0.006534379696799701,0.02825887455440614,0.08833066024677179,0.05473071197121135,0.026913958606423646,0.08431246411707277,0.0,0.004920015980092402,0.0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.604
5,BS Accountancy,0.2713915733460839,0.10111732916375778,0.23516490770252424,0.08249644894901967,0.04421102476396085,0.0,0.08051872318957264,0.06616617039063208,0.041444130657988965,0.06860080607022437,0.006447142530325356,0.0024417432359100776,0.0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5885
6,BS Accountancy,0.24911760857315526,0.04473420902957759,0.15995350976026415,0.08791012529660892,0.027113313691875758,0.030776105161532702,0.12217862598575417,0.07917038666546107,0.059794065019242365,0.13708795276574542,0.0021640980507827926,0.0,0.0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.53
7,BS Accountancy,0.2086976423836582,0.06471313023689916,0.18696799073236095,0.1291516361176361,0.0,0.015974016624472724,0.07600667463001616,0.07606115514529278,0.03154709707394218,0.15853973901137078,0.0309479563463182,0.004150814708710545,0.01724214698932225,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186
8,BS Accountancy,0.23180361874336444,0.05765711780590197,0.23593297995747248,0.15238279089406348,0.004972839134652271,0.0008092347378071896,0.06105218655104555,0.08127361217697755,0.04432679617513313,0.04210475694763569,0.03845100017090386,0.0,0.04923306670504223,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.669
9,BS Accountancy,0.27252708107092133,0.0857618739504075,0.17322482115683854,0.13830657807490696,0.0,0.022289516828221997,0.08925689390325281,0.030481302831099177,0.029759542714309684,0.08824301262711118,0.02955228573777968,0.018552174863521755,0.02204491624162917,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5736
10,BS Accountancy,0.3386984213020687,0.08541994560758999,0.11500248536171977,0.1008275346488201,0.008668333818731182,0.0,0.13725294348271191,0.051122242097502664,0.052917297591894306,0.07842384503806024,0.0,0.014713088400084525,0.016953862650816567,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6108
11,BS Accountancy,0.2711284568714674,0.06399575211180583,0.185761240224227,0.14453414699579084,0.018573840851863907,0.03112805405227997,0.08705839237116551,0.06652682881202461,0.04987592032117227,0.06909462735609255,0.004582240249774703,0.0077404997823353585,0.0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6003
12,BS Accountancy,0.30746540921269916,0.1189068561814054,0.11544589692687637,0.12210564142234066,0.0,0.00902869501948723,0.09631618203943824,0.06977558589094039,0.02407071516461935,0.08140104359131052,0.026120811248320327,0.01814886439460039,0.011214298907961976,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6947
13,BS Accountancy,0.22350447610087265,0.11065149834332713,0.1823287454050583,0.14084175188012069,0.0036197670352933983,0.03361805764839398,0.08659676038349733,0.0604323273610949,0.05656207819992953,0.08032223853353222,0.01909973043582353,0.0024225686730562877,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.548
14,BS Accountancy,0.27261906679922926,0.0777820406392279,0.12566007064172055,0.1541009534798592,0.0,0.02403358068500298,0.12837700038043173,0.05864389846686654,0.023373863366401102,0.08334911251821743,0.022677107195279846,0.02119924535301358,0.008184060474750017,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5793
15,BS Accountancy,0.3246114293267048,0.039905675813209904,0.1693578048204878,0.12651007049774554,0.0,0.002133035424613612,0.05919162647217782,0.08154893254258955,0.05326968251295728,0.10066747689915471,0.02204597194662898,0.02075829374373006,0.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6315
16,BS Accountancy,0.27568428226102804,0.10334397522436971,0.2806213398791872,0.08437740542318904,0.022173379109434194,0.029845874315720947,0.07410335303949221,0.039808602124722564,0.033575961915280075,0.0317768876298617,0.002982291098328565,0.021706647979385735,0.0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7038
17,BS Accountancy,0.25999368529791805,0.08263490108074288,0.1403235673106336,0.16884730437586684,0.012720028430246931,0.0018066145038419612,0.09331689767080985,0.06691659137611385,0.04502978107807489,0.09952715522146015,0.004180520813696571,0.014939646466055976,0.009763306374538469,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5571
18,BS Accountancy,0.23466531222526554,0.14102812099679368,0.12386468041297885,0.1523123385910319,0.0052742187547546214,0.027677656006742647,0.07933814015338618,0.04685211196688962,0.03363088595684488,0.1113248171700536,0.00837333616576016,0.023428956687236397,0.012229424912261675,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5265
19,BS Accountancy,0.22080154344923733,0.12005415360090756,0.13839193384606827,0.16091906847004883,0.026651203389731207,0.017277850011206967,0.14079445869724347,0.042793467356843744,0.03589631267121906,0.0583552348190546,0.012449230011848434,0.024350074384909576,0.001265469291680722,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5424
20,BS Accountancy,0.25315533780863825,0.0858581012136274,0.16460189572815048,0.12003748567816339,0.004936532158303272,0.011513496440654029,0.09839183136137643,0.05101423160541211,0.01848231616853852,0.12473766669029089,0.019034411974606338,0.04823669317223896,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6025
21,BS Accountancy,0.2522568682130942,0.08151460871764656,0.19216091000855207,0.11490511243624606,0.0,0.03458910890469721,0.11086447758624265,0.08711480794444562,0.0221027217915876,0.07964619976911694,0.01481529775656759,0.0,0.010029886871803548,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6322
22,BS Accountancy,0.2620393636096957,0.06643001742418081,0.2038334129902635,0.22256463229195453,0.0,0.0037688156508481523,0.08603333875352673,0.050061382732496044,0.03070300197179571,0.03702962228544333,0.02084610786943778,0.016690304420357793,0.0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691
23,BS Accountancy,0.32947455981622437,0.06419058306009107,0.20223647037404202,0.1232765442554779,0.005638949387830789,0.02320836355981475,0.06767903226846628,0.04672582832877524,0.048203609659273346,0.08936605929000409,0.0,0.0,0.0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7308
24,BS Accountancy,0.26027789529412004,0.0664081448676158,0.16499879030425169,0.16761533410346086,0.0,0.018861430030533803,0.1117693016394174,0.06542886731089825,0.05647537275103864,0.0706960463322991,0.0,0.01231901776734593,0.005149799599018533,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6551
